"H [meter]","ID [meter]","OD [meter]","winding_angle [deg]","WireD [mm]","Freq [GHz]","L_Leak [nH]","L_cm [nH]"
0.0286,0.0465,0.0673,110,2.588,0.00035,2837.78080909749,2916099.76720295
0.0286,0.0465,0.0673,110,2.906,0.0001,2741.32529491641,5616380.50946283
0.0286,0.0465,0.0673,110,2.906,0.00035,2731.56081880009,2916098.77710985
0.0286,0.0465,0.0673,110,3.264,0.0001,2613.64602313479,5616381.0604006
0.0286,0.0465,0.0673,110,3.264,0.00035,2604.12234047474,2916097.58686877
0.0286,0.0465,0.0673,110,3.665,0.0001,2455.24650563716,5616384.06379673
0.0286,0.0465,0.0673,110,3.665,0.00035,2445.12159263615,2916098.89543523
0.0296,0.075,0.1055,100,3.665,0.0001,3567.71877300233,5364931.42371466
0.0296,0.075,0.1055,100,3.665,0.00035,3562.64296250692,2785573.87796467
0.0296,0.075,0.1055,110,3.264,0.0001,3380.14308133301,5364908.75284854
0.0296,0.075,0.1055,110,3.264,0.00035,3374.9351275108,2785543.56488298
0.0296,0.075,0.1055,110,3.665,0.0001,3284.99637102836,5364907.10518833
0.0296,0.075,0.1055,110,3.665,0.00035,3280.2897325093,2785540.80759903
0.0296,0.075,0.1055,110,4.115,0.0001,3178.97465088197,5364938.98213551
0.0296,0.075,0.1055,110,4.115,0.00035,3175.00671534945,2785555.65197574
0.0303,0.07,0.1081,110,2.906,0.0001,3541.65671214421,6994023.61155991
0.0303,0.07,0.1081,110,2.906,0.00035,3535.03960787993,3631397.88825674
0.0303,0.07,0.1081,110,3.264,0.0001,3448.49612698711,6993999.35243848
0.0303,0.07,0.1081,110,3.264,0.00035,3442.75935147643,3631383.04715843
0.0303,0.07,0.1081,110,3.665,0.0001,3342.95612781926,6994197.95508555
0.0303,0.07,0.1081,110,3.665,0.00035,3338.03455433214,3631484.02448147
0.0303,0.07,0.1081,110,4.115,0.0001,3223.57921688313,6993997.59254195
0.0303,0.07,0.1081,110,4.115,0.00035,3219.15521093016,3631377.92804821
