"H [meter]","ID [meter]","OD [meter]","winding_angle [deg]","WireD [mm]","Freq [GHz]","L_Leak [nH]","L_cm [nH]"
0.0257,0.0447,0.086,90,2.906,0.00035,3170.80209791508,2541362.18778128
0.0257,0.0447,0.086,110,2.305,0.0001,2905.73352526457,3642773.11234606
0.0257,0.0447,0.086,110,2.305,0.00035,2894.30450326589,2541273.26769376
0.0257,0.0447,0.086,110,2.588,0.0001,2807.40188047451,3642792.67252949
0.0257,0.0447,0.086,110,2.588,0.00035,2796.90482231857,2541285.62623294
0.0257,0.0447,0.086,110,2.906,0.0001,2694.19180154613,3642802.04731506
0.0257,0.0447,0.086,110,2.906,0.00035,2684.14214440734,2541291.3125171
0.0257,0.0447,0.086,110,3.264,0.0001,2559.558553219,3642767.31979371
0.0257,0.0447,0.086,110,3.264,0.00035,2549.52301863428,2541266.17312544
0.0257,0.0447,0.086,110,3.665,0.0001,2394.44953088167,3642781.17449314
0.0257,0.0447,0.086,110,3.665,0.00035,2384.0609703101,2541274.65060183
0.0286,0.0465,0.0673,90,2.588,0.0001,3365.43143921518,2290437.28530966
0.0286,0.0465,0.0673,90,2.588,0.00035,3353.65381892836,1597888.59870712
0.0286,0.0465,0.0673,90,2.906,0.0001,3246.60978880503,2290432.30329975
0.0286,0.0465,0.0673,90,2.906,0.00035,3234.96224043436,1597883.15903286
0.0286,0.0465,0.0673,110,2.588,0.0001,2847.763622889,2290342.59281845
0.0286,0.0465,0.0673,110,2.588,0.00035,2837.19915180373,1597794.25078667
0.0286,0.0465,0.0673,110,2.906,0.0001,2740.7329061911,2290340.98459359
0.0286,0.0465,0.0673,110,2.906,0.00035,2730.99657609648,1597792.40157997
0.0286,0.0465,0.0673,110,3.264,0.0001,2613.18889122411,2290339.62348745
0.0286,0.0465,0.0673,110,3.264,0.00035,2603.63744806731,1597790.66015954
0.0286,0.0465,0.0673,110,3.665,0.0001,2454.773535287,2290339.7992989
0.0286,0.0465,0.0673,110,3.665,0.00035,2444.60825203112,1597790.64418908
0.0296,0.075,0.1055,60,3.264,0.0001,5023.51684141816,2188283.74860988
0.0296,0.075,0.1055,60,3.264,0.00035,5014.58947514461,1526745.98828607
0.0296,0.075,0.1055,70,3.264,0.0001,4649.70283865643,2188142.40255359
0.0296,0.075,0.1055,70,3.264,0.00035,4642.26420007147,1526605.22235181
0.0296,0.075,0.1055,70,3.665,0.0001,4521.10295421356,2188130.89101576
0.0296,0.075,0.1055,70,3.665,0.00035,4514.26911934563,1526593.36530515
0.0296,0.075,0.1055,70,4.115,0.0001,4370.80677811714,2188118.77724366
0.0296,0.075,0.1055,70,4.115,0.00035,4364.10046099251,1526580.15828991
0.0296,0.075,0.1055,90,3.264,0.0001,3978.99300718267,2187922.75837147
0.0296,0.075,0.1055,90,3.264,0.00035,3973.02917469031,1526386.04852691
0.0296,0.075,0.1055,90,3.665,0.0001,3874.960545009,2187916.28288656
0.0296,0.075,0.1055,90,3.665,0.00035,3869.76128370133,1526379.38280216
0.0296,0.075,0.1055,90,4.115,0.0001,3754.76205467624,2187940.47033456
0.0296,0.075,0.1055,90,4.115,0.00035,3750.0579902335,1526394.00656416
0.0296,0.075,0.1055,100,3.665,0.0001,3574.64830687996,2187847.82648624
0.0296,0.075,0.1055,100,3.665,0.00035,3569.74091873979,1526311.00487216
0.0296,0.075,0.1055,110,3.264,0.0001,3378.93256708786,2187806.30263522
0.0296,0.075,0.1055,110,3.264,0.00035,3373.59349383,1526269.75476548
0.0296,0.075,0.1055,110,3.665,0.0001,3283.99261894601,2187803.18209401
0.0296,0.075,0.1055,110,3.665,0.00035,3279.18433195875,1526266.47364961
0.0296,0.075,0.1055,110,4.115,0.0001,3178.2216231675,2187813.80532843
0.0296,0.075,0.1055,110,4.115,0.00035,3174.17046964369,1526272.84976003
0.0303,0.07,0.1081,60,2.906,0.0001,5271.88675249782,2852646.9127269
0.0303,0.07,0.1081,60,2.906,0.00035,5261.30424594793,1990226.7611346
0.0303,0.07,0.1081,60,3.264,0.0001,5126.54597897728,2852629.60150661
0.0303,0.07,0.1081,60,3.264,0.00035,5116.44962164463,1990209.48942921
0.0303,0.07,0.1081,70,2.906,0.0001,4868.56238809968,2852735.04386311
0.0303,0.07,0.1081,70,2.906,0.00035,4859.526577515,1990243.23673029
0.0303,0.07,0.1081,70,3.264,0.0001,4744.73580821372,2852482.81029732
0.0303,0.07,0.1081,70,3.264,0.00035,4736.47033023065,1990062.8849545
0.0303,0.07,0.1081,70,3.665,0.0001,4600.54675262342,2852470.53749314
0.0303,0.07,0.1081,70,3.665,0.00035,4592.65390708544,1990050.58852305
0.0303,0.07,0.1081,90,2.906,0.0001,4163.44460940221,2852277.06360976
0.0303,0.07,0.1081,90,2.906,0.00035,4156.33945449665,1989853.64856062
0.0303,0.07,0.1081,90,3.264,0.0001,4059.06969971985,2852255.7016909
0.0303,0.07,0.1081,90,3.264,0.00035,4052.67598808502,1989836.58064884
0.0303,0.07,0.1081,90,3.665,0.0001,3943.09662326751,2852249.43672851
0.0303,0.07,0.1081,90,3.665,0.00035,3937.42880533146,1989829.94759676
0.0303,0.07,0.1081,90,4.115,0.0001,3807.94980439208,2852241.3147059
0.0303,0.07,0.1081,90,4.115,0.00035,3802.87198450697,1989821.67526513
0.0303,0.07,0.1081,110,2.906,0.0001,3540.77385758749,2852149.38991308
0.0303,0.07,0.1081,110,2.906,0.00035,3534.06896404961,1989727.95014263
0.0303,0.07,0.1081,110,3.264,0.0001,3447.74717961533,2852136.48490063
0.0303,0.07,0.1081,110,3.264,0.00035,3441.93504835174,1989717.60742314
0.0303,0.07,0.1081,110,3.665,0.0001,3342.15654823622,2852214.59868938
0.0303,0.07,0.1081,110,3.665,0.00035,3337.16043202362,1989770.8359786
0.0303,0.07,0.1081,110,4.115,0.0001,3222.8601182249,2852130.26166956
0.0303,0.07,0.1081,110,4.115,0.00035,3218.3627304316,1989710.77774979
